"data e hora","caso de teste","mensagem"
"2021/07/14 22:32:45","Consultar Curso Mantis","Iniciou o Teste"
"2021/07/14 22:32:49","Consultar Curso Mantis","Abriu o Site"
"2021/07/14 22:32:50","Consultar Curso Mantis","Clicou na caixa de pesquisa"
"2021/07/14 22:32:50","Consultar Curso Mantis","Limpou a caixa de pesquisa"
"2021/07/14 22:32:50","Consultar Curso Mantis","Escreveu Mantis na caixa de pesquisa"
"2021/07/14 22:32:53","Consultar Curso Mantis","Clicou no botão lupa"
"2021/07/14 22:32:53","Consultar Curso Mantis","Confirmou o texto indicativoda pesquisa do curso Mantis"
"2021/07/14 22:32:53","Consultar Curso Mantis","Clicou no botão Matricule-se"
"2021/07/14 22:32:55","Consultar Curso Mantis","Confirmou o nome do curso Mantis"
"2021/07/14 22:32:55","Consultar Curso Mantis","Confirmou o valor do curso Mantis"
"2021/07/14 22:32:56","Consultar Curso Mantis","Concluiu o teste"
